label_raw,text,label_ocean,key
Sympathy,Are not deeply moved by others' misfortunes,A,1
Cautiousness,Are not easily talked into doing silly things,C,-1
Friendliness,Are not hard to get to know,E,-1
Assertiveness,Are highly motivated to succeed,E,-1
Conscientiousness,Are not often late to work,C,-1
Friendliness,Are not open about your feelings,E,1
Gregariousness,Are not quiet around strangers,E,-1
Dutifulness,Don't appreciate good manners,C,1
Assertiveness,Don't automatically take charge,E,1
Friendliness,Don't avoid contacts with others,E,-1
Dutifulness,Don't behave properly,C,1
Imagination,Don't believe in the importance of art,O,1
Sympathy,Don't believe people should fend for themselves,A,-1
Gregariousness,Don't bottle up your feelings,E,-1
Morality,Don't break rules,A,-1
Assertiveness,Can't easily push yourself forward,E,1
Introspection/Private Self-Consciousness,Can stand being alone,N,-1
Dutifulness,Don't check over your work,C,1
Assertiveness,Don't come up with a solution right away,E,1
Cooperation,Don't comment loudly about others,A,-1
Sympathy,Don't demand a lot from others,A,-1
Intellect,Like learning,O,-1
Orderliness,Like routine,C,-1
Dutifulness,Don't disregard rules,C,-1
Assertiveness,Don't do a lot in your spare time,E,1
Cautiousness,Don't do crazy things,C,-1
Cooperation,Don't do dangerous things,A,-1
Dutifulness,Don't do improper things,C,-1
Imagination,Enjoy going to art museums,O,-1
Imagination,Like art,O,-1
Imagination,Like poetry,O,-1
Conscientiousness,Plan ahead,C,-1
Dutifulness,Don't do the opposite of what is asked,C,-1
Conscientiousness,Don't do things according to a plan,C,1
Introspection/Private Self-Consciousness,Don't do things at your own pace,N,1
Orderliness,Don't do things by the book,C,1
Morality,Care about rules,A,-1
Sympathy,Fall for sob stories,A,-1
Gregariousness,Like to draw attention to yourself,E,-1
Introspection/Private Self-Consciousness,Like to ponder over things,N,-1
Introspection/Private Self-Consciousness,Mind eating alone,N,1
Gregariousness,Talk a lot,E,-1
Dutifulness,Think laws apply to me,C,-1
Cooperation,Don't enjoy being reckless,A,-1
Introspection/Private Self-Consciousness,Don't enjoy contemplation,N,1
Cooperation,Don't enjoy crude jokes,A,-1
Introspection/Private Self-Consciousness,Don't enjoy your privacy,N,1
Introspection/Private Self-Consciousness,Don't enjoy spending time by yourself,N,1
Intellect,Don't enjoy thinking about things,O,1
Sympathy,Don't feel sympathy for those who are worse off than yourself,A,1
Orderliness,Don't follow a schedule,C,1
Dutifulness,Don't follow directions,C,1
Introspection/Private Self-Consciousness,Don't have a point of view all your own,N,1
Imagination,Don't have a vivid imagination,O,1
Cooperation,Don't impose your will on others,A,-1
Cautiousness,Don't jump into things without thinking,C,-1
Gregariousness,Don't keep in the background,E,-1
Conscientiousness,Don't keep your checkbook balanced,C,1
Gregariousness,Don't keep your thoughts to yourself,E,-1
Dutifulness,Don't keep yourself well-groomed,C,1
Friendliness,Don't keep others at a distance,E,-1
Assertiveness,Don't know what you want,E,1
Cautiousness,Don't laugh at the slightest provocation,C,-1
Conscientiousness,Don't leave your work undone,C,-1
Morality,Don't like harmony in your life,A,1
Cautiousness,Don't like to act on a whim,C,-1
Sympathy,Don't like to do things for others,A,1
Cautiousness,Don't like to laugh out loud,C,-1
Conscientiousness,Don't like to plan ahead,C,1
Sympathy,Don't listen to your brain rather than your heart,A,-1
Cooperation,Don't listen to your conscience,A,1
Introspection/Private Self-Consciousness,Don't live in a world of your own,N,1
Sympathy,Don't look down on any weakness,A,-1
Cooperation,Hate a good fight,A,-1
Dutifulness,Don't make rash decisions,C,-1
Imagination,Don't need a creative outlet,O,1
Assertiveness,Don't need a lot of time to do things,E,-1
Conscientiousness,Don't neglect your duties,C,-1
Cautiousness,Spend more than you can afford,C,1
Cautiousness,Splurge,C,1
Conscientiousness,Don't often forget to put things back in their proper place,C,-1
Cautiousness,Don't often make last-minute plans,C,-1
Morality,Don't only talk about your own interests,A,-1
Morality,Don't overestimate your achievements,A,-1
Dutifulness,Don't pay no attention to your appearance,C,-1
Cooperation,Don't play tricks on others,A,-1
Introspection/Private Self-Consciousness,Prefer not to be alone,N,1
Imagination,Don't prefer variety to routine,O,1
Cautiousness,Don't purchase only practical things,C,1
Conscientiousness,Don't put off unpleasant tasks,C,-1
Friendliness,Don't radiate joy,E,1
Sympathy,Don't reassure others,A,1
Morality,Don't respect authority,A,1
Morality,Don't respect the privacy of others,A,1
Conscientiousness,Don't return borrowed items,C,1
Friendliness,Don't reveal little about yourself,E,-1
Dutifulness,Don't say inappropriate things,C,-1
Morality,Don't scheme against others,A,-1
Orderliness,Don't see that rules are observed,C,1
Cooperation,Don't seek conflict,A,-1
Intellect,Don't show a mastery of language,O,1
Introspection/Private Self-Consciousness,Don't spend time reflecting on things,N,1
Dutifulness,Don't stick to the rules,C,1
Assertiveness,Don't stick up for yourself,E,1
Sympathy,Don't take an interest in other people's lives,A,1
Orderliness,Don't take good care of your belongings,C,1
Cautiousness,Don't take precautions,C,1
Conscientiousness,Don't take tasks too lightly,C,-1
Cooperation,Don't tell tall stories about yourself,A,-1
Cautiousness,Don't tend to dislike impulsive people,C,1
Sympathy,Don't tend to dislike soft-hearted people,A,-1
Cooperation,Don't think too highly of yourself,A,-1
Sympathy,Think about the needy,A,-1
Morality,Don't try to follow the rules,A,1
Assertiveness,Don't try to lead others,E,1
Intellect,Don't try to understand yourself,O,1
Morality,Don't turn your back on others,A,-1
Assertiveness,Don't turn plans into actions,E,1
Intellect,Don't use difficult words,O,1
Cooperation,Don't value cooperation over competition,A,1
Introspection/Private Self-Consciousness,Don't want to be left alone,N,1
Friendliness,Don't warm up quickly to others,E,1
Orderliness,Don't work according to a routine,C,1
Morality,Would cheat on your taxes,A,1
Neuroticism,Are not a person whose moods go up and down easily,N,1
Anger,Are not a person whose moods go up and down easily,N,1
Neuroticism,Are not afraid of many things,N,1
Anxiety,Are not afraid of many things,N,1
Neuroticism,Are not easily discouraged,N,1
Anxiety,Are not easily discouraged,N,1
Neuroticism,Are not filled with doubts about things,N,1
Anxiety,Are not filled with doubts about things,N,1
Neuroticism,Are easily annoyed,N,-1
Anger,Are easily annoyed,N,-1
Neuroticism,Are embarrassed easily,N,-1
Anxiety,Are embarrassed easily,N,-1
Intellectual Openness,Are not quick to understand things,O,1
Intellect,Are not quick to understand things,O,1
Assertiveness,Are not the first to act,E,1
Intellectual Openness,Don't avoid difficult reading material,O,-1
Intellectual Openness,Don't avoid philosophical discussions,O,-1
Intellect,Don't avoid philosophical discussions,O,-1
Neuroticism,Don't become overwhelmed by events,N,1
Anxiety,Don't become overwhelmed by events,N,1
Intellectual Openness,Don't believe in the importance of art,O,1
Neuroticism,Can't be stirred up easily,N,1
Anger,Can't be stirred up easily,N,1
Intellectual Openness,Can't handle a lot of information,O,1
Intellect,Can't handle a lot of information,O,1
Assertiveness,Can't talk others into doing things,E,1
Neuroticism,Don't change your mood a lot,N,1
Anger,Don't change your mood a lot,N,1
Assertiveness,Have an assertive personality,E,-1
Intellectual Openness,Like poetry,O,-1
Intellectual Openness,Don't enjoy the beauty of nature,O,1
Neuroticism,Don't feel comfortable with yourself,N,-1
Anxiety,Don't feel comfortable with yourself,N,-1
Neuroticism,Don't feel threatened easily,N,1
Intellectual Openness,Don't formulate ideas clearly,O,1
Intellect,Don't formulate ideas clearly,O,1
Neuroticism,Don't get angry easily,N,1
Anger,Don't get angry easily,N,1
Intellectual Openness,Don't get deeply immersed in music,O,1
Neuroticism,Don't get easily agitated,N,1
Anger,Don't get easily agitated,N,1
Neuroticism,Don't get upset easily,N,1
Anger,Don't get upset easily,N,1
Intellectual Openness,Don't have a rich vocabulary,O,1
Assertiveness,Don't have a strong personality,E,1
Intellectual Openness,Don't have difficulty understanding abstract ideas,O,-1
Assertiveness,Don't hold back your opinions,E,-1
Neuroticism,Don't keep your emotions under control,N,-1
Anger,Don't keep your emotions under control,N,-1
Orderliness,Don't keep things tidy,C,1
Assertiveness,Don't know how to captivate people,E,1
Assertiveness,Don't lack the talent for influencing people,E,-1
Intellectual Openness,Don't learn things slowly,O,-1
Intellect,Don't learn things slowly,O,-1
Intellectual Openness,Don't like to solve complex problems,O,1
Intellect,Don't like to solve complex problems,O,1
Intellectual Openness,Hate to reflect on things,O,1
Intellectual Openness,Don't need a creative outlet,O,1
Neuroticism,Often feel depressed,N,-1
Anxiety,Often feel depressed,N,-1
Neuroticism,Often get irritated,N,-1
Anger,Often get irritated,N,-1
Neuroticism,Often lose your composure,N,-1
Anger,Often lose your composure,N,-1
Intellectual Openness,Don't see beauty in things that others might not notice,O,1
Assertiveness,Don't see yourself as a good leader,E,1
Intellectual Openness,Often daydream,O,-1
Neuroticism,Often feel blue,N,-1
Anxiety,Often feel blue,N,-1
Intellectual Openness,Often get lost in thought,O,-1
Intellectual Openness,Often notice the emotional aspects of paintings and pictures,O,-1
Intellectual Openness,Don't think quickly,O,1
Intellect,Don't think quickly,O,1
Orderliness,Don't want every detail taken care of,C,1
Neuroticism,Don't worry about things,N,1
Extraversion,Are not a very private person,E,-1
Conscientiousness,Are not always prepared,C,1
Conscientiousness,Are not exacting in your work,C,1
Intellect,Are not full of ideas,O,1
Intellect,Are not good at many things,O,1
Agreeableness,Are not hard to get to know,A,-1
Agreeableness,Are not indifferent to the feelings of others,A,-1
Agreeableness,Are not interested in people,A,1
Agreeableness,Are really interested in others,A,-1
Agreeableness,Are not on good terms with nearly everyone,A,1
Extraversion,Are not quiet around strangers,E,-1
Extraversion,Are not the life of the party,E,1
Extraversion,Don't bottle up your feelings,E,-1
Intellect,Don't catch on to things quickly,O,1
Conscientiousness,Don't continue until everything is perfect,C,1
Intellect,Have a good imagination,O,-1
Extraversion,Like to draw attention to yourself,E,-1
Extraversion,Mind being the center of attention,E,1
Extraversion,Don't feel at ease with people,E,1
Extraversion,Don't feel comfortable around people,E,1
Agreeableness,Don't feel little concern for others,A,-1
Conscientiousness,Don't find it difficult to get down to work,C,-1
Conscientiousness,Don't follow a schedule,C,1
Conscientiousness,Don't get chores done right away,C,1
Agreeableness,Don't have a good word for everyone,A,1
Intellect,Don't have a vivid imagination,O,1
Intellect,Don't have difficulty imagining things,O,-1
Extraversion,Don't have little to say,E,-1
Agreeableness,Don't inquire about others' well-being,A,1
Extraversion,Don't know how to captivate people,E,1
Agreeableness,Don't know how to comfort others,A,1
Conscientiousness,Don't leave a mess in your room,C,-1
Conscientiousness,Don't leave your belongings around,C,-1
Conscientiousness,Don't like to tidy up,C,1
Agreeableness,Hate children,A,1
Conscientiousness,Hate order and regularity,C,1
Agreeableness,Hate to help others,A,1
Intellect,Hate to read challenging material,O,1
Intellect,Hate to think up new ways of doing things,O,1
Conscientiousness,Don't make a mess of things,C,-1
Conscientiousness,Don't make plans and stick to them,C,1
Extraversion,Don't often feel uncomfortable around others,E,-1
Conscientiousness,Don't shirk your duties,C,-1
Agreeableness,Don't show your gratitude,A,1
Intellect,Don't spend time reflecting on things,O,1
Extraversion,Don't start conversations,E,1
Agreeableness,Don't take time out for others,A,1
Agreeableness,Don't think of others first,A,1
Extraversion,Don't wait for others to lead the way,E,-1
Conscientiousness,Don't waste your time,C,-1
Anxiety,Are not always worried about something,N,1
Excitement-seeking,Are not eager to soothe hurt feelings,E,1
Anxiety,Don't begin to panic when there is danger,N,1
Excitement-seeking,Get excited about things,E,-1
Excitement-seeking,Don't feel excited or happy for no apparent reason,E,1
Excitement-seeking,Don't get caught up in the excitement when others are celebrating,E,1
Excitement-seeking,Don't get so happy or energetic that you are almost giddy,E,1
Anxiety,Don't get stressed out easily,N,1
Anxiety,Don't often worry about things that turn out to be unimportant,N,1
Excitement-seeking,Often get caught up in the excitement,E,-1
Anxiety,Often worry,N,-1
Anxiety,Don't worry about what people think of me,N,1
Introspection/Private Self-Consciousness,Are not constantly reflecting about yourself,N,1
Introspection/Private Self-Consciousness,Try to figure yourself out,N,-1
Introspection/Private Self-Consciousness,Don't examine your motives constantly,N,1
Introspection/Private Self-Consciousness,Don't like to get lost in thought,N,1
Introspection/Private Self-Consciousness,Don't look for hidden meaning in things,N,1
Introspection/Private Self-Consciousness,Often look for a deeper meaning in things,N,-1
Introspection/Private Self-Consciousness,Often daydream,N,-1
Introspection/Private Self-Consciousness,Often get lost in thought,N,-1
Introspection/Private Self-Consciousness,Don't try to examine yourself objectively,N,1
Anxiety,Are not easily startled,N,1
Anxiety,Are not generally a fearful person,N,1
Anxiety,Are not nervous or tense most of the time,N,1
Depression,Are not sad most of the time,N,1
Depression,Like yourself,N,1
Anger,Let little things anger me,N,-1
Anxiety,Don't feel your anxiety overwhelms me,N,1
Anxiety,Don't feel that your worry and anxiety is out of control,N,1
Depression,Don't generally focus on the negative side of things,N,1
Anger,Don't get irritated easily,N,1
Anger,Don't have a violent temper,N,1
Depression,Don't look at the bright side of life,N,-1
Anger,Don't often feel overwhelmed with rage,N,1
Anxiety,Don't panic easily,N,1
Depression,Often feel depressed,N,-1
Depression,Don't tend to feel very hopeless,N,1
Dutifulness,Don't act without planning,C,-1
Self-discipline,Are not exacting in your work,C,1
Intellect,Are interested in theoretical discussions,O,-1
Adventurousness,Are not open to change,O,1
Assertiveness,Are not quick to correct others,E,1
Self-efficacy,Are not quick to understand things,C,1
Adventurousness,Are not the last to laugh at a joke,O,-1
Adventurousness,Don't areuse your friends,O,1
Self-discipline,Don't avoid responsibilities,C,-1
Liberalism,Don't believe in the importance of art,O,1
Liberalism,Don't believe laws should be strictly enforced,O,-1
Adventurousness,Don't believe that you are important,O,1
Liberalism,Don't believe that too much tax money goes to support artists,O,-1
Liberalism,Don't believe that we coddle criminals too much,O,-1
Liberalism,Don't believe that we should be tough on crime,O,-1
Self-efficacy,Can't handle complex problems,C,1
Assertiveness,Don't challenge others' points of view,E,1
Assertiveness,Don't demand explanations from others,E,1
Self-discipline,Don't disregard rules,C,-1
Self-discipline,Don't do improper things,C,-1
Self-efficacy,Have a good imagination,C,-1
Liberalism,Like art,O,-1
Dutifulness,Don't do things according to a plan,C,1
Dutifulness,Don't do things by the book,C,1
Intellect,Don't enjoy contemplation,O,1
Intellect,Don't enjoy thought-provoking movies,O,1
Self-discipline,Don't find it difficult to get down to work,C,-1
Intellect,Don't find political discussions interesting,O,1
Self-efficacy,Don't formulate ideas clearly,C,1
Self-discipline,Don't get chores done right away,C,1
Self-discipline,Don't get to work at once,C,1
Self-discipline,Don't go straight for the goal,C,1
Adventurousness,Don't hate surprises,O,-1
Assertiveness,Don't hate to seem pushy,E,-1
Adventurousness,Don't have a lot of fun,O,1
Self-efficacy,Don't have excellent ideas,C,1
Assertiveness,Don't impose your will on others,E,1
Assertiveness,Don't lay down the law to others,E,1
Self-efficacy,Don't let yourself be directed by others,C,-1
Adventurousness,Don't let yourself go,O,1
Self-efficacy,Don't let others determine your choices,C,-1
Self-discipline,Don't like to organize things,C,1
Liberalism,Don't like to stand during the national anthem,O,-1
Dutifulness,Don't make plans and stick to them,C,1
Self-efficacy,Challenge things,C,-1
Dutifulness,Don't overuse your credit,C,-1
Intellect,Prefer not to stick with things that you know,O,-1
Assertiveness,Don't put people under pressure,E,1
Adventurousness,Often joke around,O,-1
Dutifulness,Don't spend more money than you have,C,-1
Liberalism,Don't tend to vote for conservative political candidates,O,-1
Liberalism,Don't tend to vote for liberal political candidates,O,1
Self-efficacy,Don't think quickly,C,1
Adventurousness,Don't try out new things,O,1
Assertiveness,Don't try to outdo others,E,1
Assertiveness,Don't try to surpass others' accomplishments,E,1
Self-efficacy,Don't undertake few things on your own,C,-1
Assertiveness,Don't want to control the conversation,E,1
Self-discipline,Don't waste your time,C,-1
Dutifulness,Would cheat on your taxes,C,1
Modesty/Humility,Are not just an ordinary person,A,1
Modesty/Humility,Are not likely to show off if you get the chance,A,-1
Modesty/Humility,Are not more capable than most others,A,-1
Anxiety,Are easily disturbed by events,N,-1
Modesty/Humility,Don't believe that you are better than others,A,-1
Modesty/Humility,Don't boast about your virtues,A,-1
Modesty/Humility,Don't consider yourself an average person,A,1
Modesty/Humility,Think that you are better than other people,A,1
Anxiety,Don't get upset by unpleasant thoughts that come into your mind,N,1
Modesty/Humility,Don't like to attract attention,A,-1
Anxiety,Don't remain calm under pressure,N,-1
Modesty/Humility,Don't see yourself as an average person,A,1
Modesty/Humility,Wouldn't like to have more power than other people,A,-1
Cooperation,Don't act wild and crazy,A,-1
Friendliness,Are not interested in people,E,1
Friendliness,Are really interested in others,E,-1
Cooperation,Don't break rules,A,-1
Friendliness,Don't cheer people up,E,1
Gregariousness,Like being the center of attention,E,-1
Dutifulness,Don't do crazy things,C,-1
Dutifulness,Don't do things that others find strange,C,-1
Dutifulness,Don't do unexpected things,C,-1
Gregariousness,Mind being the center of attention,E,1
Dutifulness,Don't enjoy being reckless,C,-1
Cooperation,Don't enjoy wild flights of fantasy,A,-1
Friendliness,Don't feel at ease with people,E,1
Cooperation,Don't feel that people have a hard time understanding me,A,-1
Gregariousness,Don't have little to say,E,-1
Gregariousness,Don't know how to captivate people,E,1
Cooperation,Don't look for hidden meanings in things,A,-1
Cooperation,Don't oppose authority,A,-1
Cooperation,Often overindulge,A,1
Cooperation,Don't resist authority,A,-1
Cooperation,Don't suspect hidden motives in others,A,-1
Cooperation,Don't swim against the current,A,-1
Friendliness,Don't want to be left alone,E,-1
Gregariousness,Wouldn't describe your experiences as somewhat dull,E,-1
Achievement-striving,Don't accept challenging tasks,C,1
Self-discipline,Are not always prepared,C,1
Orderliness,Are not easily talked into doing silly things,C,-1
Achievement-striving,Are not good at many things,C,1
Achievement-striving,Are highly motivated to succeed,C,-1
Gregariousness,Don't avoid crowds,E,-1
Trust,Don't believe in human goodness,A,1
Trust,Don't believe that people are essentially evil,A,-1
Trust,Don't distrust people,A,-1
Orderliness,Don't do unexpected things,C,-1
Self-discipline,Don't do unpleasant tasks immediately,C,1
Gregariousness,Like to get dressed up,E,-1
Introspection/Private Self-Consciousness,Don't enjoy examining yourself and your life,N,1
Orderliness,Don't enjoy wild flights of fantasy,C,-1
Dutifulness,Don't feel that people have a hard time understanding me,C,-1
Achievement-striving,Don't feel up to any task,C,1
Dutifulness,Don't have days when you are mad at the world,C,-1
Orderliness,Don't like variety,C,-1
Introspection/Private Self-Consciousness,Don't look for hidden meanings in things,N,1
Gregariousness,Hate surprise parties,E,1
Dutifulness,Hate to come up with objections,C,-1
Self-discipline,Don't put off unpleasant tasks,C,-1
Intellect,Don't read quickly,O,1
Intellect,Don't read slowly,O,-1
Dutifulness,Don't seek danger,C,-1
Trust,Don't suspect hidden motives in others,A,-1
Trust,Don't trust others,A,1
Trust,Don't trust what people say,A,1
Orderliness,Don't try to do too difficult things,C,-1
Introspection/Private Self-Consciousness,Don't try to understand yourself,N,1
Achievement-striving,Don't undertake few things on your own,C,-1
Gregariousness,Don't feel comfortable around people,E,1
Gregariousness,Hate large parties,E,1
Gregariousness,Don't start conversations,E,1
Gregariousness,Don't talk to a lot of different people at parties,E,1
Activity-Level,Don't accomplish a lot of work,E,1
Activity-Level,Are not always busy,E,1
